VAUGHAN METROPOLITAN CENTRE,43.7964,-79.5282
HIGHWAY 407,43.7699,-79.5216
PIONEER VILLAGE,43.7612,-79.5076
YORK UNIVERSITY,43.7743,-79.5013
FINCH WEST,43.7655,-79.4909
DOWNSVIEW PARK,43.7502,-79.4769
SHEPPARD WEST,43.7499,-79.4623
WILSON,43.7345,-79.4503
YORKDALE,43.7245,-79.4476
LAWRENCE WEST,43.7156,-79.4444
GLENCAIRN,43.7096,-79.4359
EGLINTON WEST,43.6997,-79.4359
ST. CLAIR WEST,43.684,-79.4158
DUPONT,43.6747,-79.4065
SPADINA,43.6677,-79.403
ST. GEORGE,43.6683,-79.3987
MUSEUM,43.667,-79.3936
QUEEN'S PARK,43.6598,-79.3901
ST. PATRICK,43.6545,-79.3883
OSGOODE,43.6505,-79.3866
ST. ANDREW,43.6473,-79.3856
UNION,43.6453,-79.3806
KING,43.6486,-79.3777
QUEEN,43.6526,-79.3793
DUNDAS,43.6565,-79.3807
COLLEGE,43.6605,-79.3828
WELLESLEY,43.6654,-79.3839
BLOOR-YONGE,43.67,-79.3854
ROSEDALE,43.6765,-79.3889
SUMMERHILL,43.682,-79.3914
ST. CLAIR,43.6872,-79.3938
DAVISVILLE,43.6981,-79.3966
EGLINTON,43.7052,-79.3986
LAWRENCE,43.7259,-79.4026
YORK MILLS,43.7445,-79.406
SHEPPARD-YONGE,43.7615,-79.4103
NORTH YORK CENTRE,43.7681,-79.4124
FINCH,43.7805,-79.4146